Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,0.4300000071525574,0.1899999976158142,0.4300000071525574,0.4300000071525574,500,0.4300000071525574
2017-01-04,0.38999998569488525,0.28999999165534973,0.28999999165534973,0.38999998569488525,2700,0.38999998569488525
2017-01-05,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0,0.38999998569488525
2017-01-06,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0,0.38999998569488525
2017-01-09,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0,0.38999998569488525
2017-01-10,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0,0.38999998569488525
2017-01-11,0.38999998569488525,0.38999998569488525,0.38999998569488525,0.38999998569488525,0,0.38999998569488525
2017-01-12,0.3499999940395355,0.30000001192092896,0.3499999940395355,0.30000001192092896,10200,0.30000001192092896
2017-01-13,0.30000001192092896,0.2800000011920929,0.2800000011920929,0.30000001192092896,3300,0.30000001192092896
2017-01-17,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0,0.30000001192092896
2017-01-18,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0,0.30000001192092896
2017-01-19,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0,0.30000001192092896
2017-01-20,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0,0.30000001192092896
2017-01-23,0.2800000011920929,0.25999999046325684,0.25999999046325684,0.2800000011920929,500,0.2800000011920929
2017-01-24,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0,0.2800000011920929
2017-01-25,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.2800000011920929,0,0.2800000011920929
2017-01-26,0.25,0.25,0.25,0.25,4600,0.25
2017-01-27,0.25,0.23000000417232513,0.23000000417232513,0.25,500,0.25
2017-01-30,0.25,0.25,0.25,0.25,0,0.25
2017-01-31,0.25,0.25,0.25,0.25,0,0.25
2017-02-01,0.25,0.25,0.25,0.25,0,0.25
2017-02-02,0.25,0.2199999988079071,0.2199999988079071,0.25,400,0.25
2017-02-03,0.25,0.25,0.25,0.25,300,0.25
2017-02-06,0.25,0.25,0.25,0.25,0,0.25
2017-02-07,0.25,0.25,0.25,0.25,0,0.25
2017-02-08,0.25,0.25,0.25,0.25,0,0.25
2017-02-09,0.25,0.25,0.25,0.25,0,0.25
2017-02-10,0.25,0.25,0.25,0.25,0,0.25
2017-02-13,0.25,0.25,0.25,0.25,0,0.25
2017-02-14,0.25,0.25,0.25,0.25,0,0.25
2017-02-15,0.25,0.25,0.25,0.25,0,0.25
2017-02-16,0.23999999463558197,0.2199999988079071,0.2199999988079071,0.23999999463558197,500,0.23999999463558197
2017-02-17,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0,0.23999999463558197
2017-02-21,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0,0.23999999463558197
2017-02-22,0.23999999463558197,0.23999999463558197,0.23999999463558197,0.23999999463558197,0,0.23999999463558197
